,name,url,height,weight,shot,pos,draft
0,Marc-Andre Fleury,/players/f/fleurma01.html,188,180,a,G,1st
1,Eric Staal,/players/s/staaler01.html,193,205,L,C,2nd
2,Nathan Horton,/players/h/hortona01.html,188,229,R,R,3rd
3,Nikolai Zherdev,/players/z/zherdni01.html,188,203,R,W,4th
4,Thomas Vanek,/players/v/vanekth01.html,188,214,R,L,5th
5,Milan Michalek,/players/m/michami01.html,188,220,L,R,6th
6,Ryan Suter,/players/s/suterry01.html,188,206,L,D,7th
7,Braydon Coburn,/players/c/coburbr01.html,196,226,L,D,8th
8,Dion Phaneuf,/players/p/phanedi01.html,190,227,L,D,9th
9,Andrei Kostitsyn,/players/k/kostian01.html,183,214,L,L,10t
10,Jeff Carter,/players/c/carteje01.html,193,215,R,C,11t
11,Hugh Jessiman,/players/j/jessihu01.html,198,221,R,R,12t
12,Dustin Brown,/players/b/browndu01.html,183,206,R,R,13t
13,Brent Seabrook,/players/s/seabrbr01.html,190,220,R,D,14t
14,Robert Nilsson,/players/n/nilssro01.html,180,185,L,C,15t
15,Steve Bernier,/players/b/bernist01.html,190,220,R,R,16t
16,Zach Parise,/players/p/parisza01.html,180,196,L,L,17t
17,Eric Fehr,/players/f/fehrer01.html,193,212,R,R,18t
18,Ryan Getzlaf,/players/g/getzlry01.html,193,221,R,C,19t
19,Brent Burns,/players/b/burnsbr01.html,196,230,R,D,20t
20,Mark Stuart,/players/s/stuarma01.html,188,215,L,D,21s
21,Marc Pouliot,/players/p/poulima01.html,188,203,R,C,22n
22,Ryan Kesler,/players/k/keslery01.html,188,202,R,C,23r
23,Mike Richards,/players/r/richami02.html,180,196,L,C,24t
24,Anthony Stewart,/players/s/stewaan01.html,190,230,R,R,25t
25,Brian Boyle,/players/b/boylebr01.html,201,243,L,C,26t
26,Jeff Tambellini,/players/t/tambeje01.html,180,186,L,L,27t
27,Corey Perry,/players/p/perryco01.html,190,210,R,R,28t
28,Patrick Eaves,/players/e/eavespa01.html,183,200,R,R,29t
29,Shawn Belle,/players/b/bellesh01.html,185,235,L,D,30t
30,Danny Richmond,/players/r/richmda01.html,183,192,L,D,31s
31,Ryan Stone,/players/s/stonery01.html,188,207,L,C,32n
32,Loui Eriksson,/players/e/erikslo01.html,188,183,L,L,33r
33,Mike Egener,/players/e/egenemi01.html,ml>,ml>,a,D,34t
34,Konstantin Glazachev,/players/g/glazako01.html,ml>,ml>,a,L,35t
35,Vojtech Polak,/players/p/polakvo01.html,178,180,L,L,36t
36,Kevin Klein,/players/k/kleinke01.html,185,202,R,D,37t
37,Kamil Kreps,/players/k/krepska01.html,188,194,R,C,38t
38,Tim Ramholt,/players/r/ramhoti01.html,185,194,L,D,39t
39,Cory Urquhart,/players/u/urquhco01.html,ml>,ml>,a,C,40t
40,Matt Smaby,/players/s/smabyma01.html,198,239,L,D,41s
41,Petr Vrana,/players/v/vranape01.html,178,190,L,C,42n
42,Josh Hennessy,/players/h/hennejo01.html,183,192,L,C,43r
43,Konstantin Pushkarev,/players/p/pushkko01.html,183,180,L,R,44t
44,Patrice Bergeron,/players/b/bergepa01.html,185,195,R,C,45t
45,Dan Fritsche,/players/f/fritsda01.html,185,204,R,C,46t
46,Matt Carle,/players/c/carlema01.html,183,197,L,D,47t
47,Dmitri Chernykh,/players/c/cherndm01.html,ml>,ml>,a,R,48t
48,Shea Weber,/players/w/webersh01.html,193,236,R,D,49t
49,Ivan Baranka,/players/b/baraniv01.html,190,205,L,D,50t
50,Colin McDonald,/players/m/mcdonco01.html,185,210,R,R,51s
51,Corey Crawford,/players/c/crawfco01.html,188,216,a,G,52n
52,Evgeny Tunik,/players/t/tunikev01.html,ml>,ml>,a,C,53r
53,B.J. Crombeen,/players/c/crombbj01.html,188,209,R,R,54t
54,Stefan Meyer,/players/m/meyerst01.html,188,200,L,L,55t
55,Patrick O'Sullivan,/players/o/osullpa01.html,180,190,L,C,56t
56,John Doherty,/players/d/doherjo01.html,ml>,ml>,a,D,57t
57,Jeremy Colliton,/players/c/collije01.html,188,195,R,C,58t
58,Michal Barinka,/players/b/barinmi01.html,190,217,L,D,59t
59,Marc-Andre Bernier,/players/b/bernima01.html,ml>,ml>,a,R,60t
60,Maxim Lapierre,/players/l/lapiema01.html,188,215,R,C,61s
61,David Backes,/players/b/backeda01.html,190,221,R,C,62n
62,David Liffiton,/players/l/liffida01.html,188,210,L,D,63r
63,Jimmy Howard,/players/h/howarja02.html,185,218,a,G,64t
64,Branislav Fabry,/players/f/fabrybr01.html,ml>,ml>,a,L,65t
65,Masi Marjamaki,/players/m/marjama01.html,188,184,L,R,66t
66,Igor Mirnov,/players/m/mirnoig01.html,ml>,ml>,a,L,67t
67,Jean-Francois Jacques,/players/j/jacquje01.html,193,217,L,L,68t
68,Colin Fraser,/players/f/fraseco01.html,185,190,L,C,69t
69,Jonathan Filewich,/players/f/filewjo01.html,188,208,R,R,70t
70,Dmitry Kosmachev,/players/k/kosmadm01.html,ml>,ml>,a,D,71s
71,Mikhail Zhukov,/players/z/zhukomi01.html,ml>,ml>,a,L,72n
72,Daniel Carcillo,/players/c/carcida01.html,183,200,L,L,73r
73,Clarke MacArthur,/players/m/macarcl01.html,183,195,L,L,74t
74,Ken Roche,/players/r/rocheke01.html,ml>,ml>,a,C,75t
75,Richard Stehlik,/players/s/stehlri01.html,ml>,ml>,a,D,76t
76,Tyler Redenbach,/players/r/redenty01.html,ml>,ml>,a,C,77t
77,Danny Irmen,/players/i/irmenda01.html,183,190,R,C,78t
78,Ryan O'Byrne,/players/o/obyrnry01.html,196,234,R,D,79t
79,Dmitri Pestunov,/players/p/pestudm01.html,ml>,ml>,a,C,80t
80,Stefan Ruzicka,/players/r/ruzicst01.html,185,196,R,R,81s
81,Ryan Munce,/players/m/muncery01.html,ml>,ml>,a,G,82n
82,Steve Werner,/players/w/wernest01.html,ml>,ml>,a,R,83r
83,Konstantin Barulin,/players/b/barulko01.html,ml>,ml>,a,G,84t
84,Alexandre Picard,/players/p/picaral01.html,190,215,L,D,85t
85,Shane Hynes,/players/h/hynessh01.html,ml>,ml>,a,R,86t
86,Ryan Potulny,/players/p/potulry01.html,183,190,L,C,87t
87,Zack Fitzgerald,/players/f/fitzgza01.html,188,205,L,D,88t
