,season,TOT,age_x,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct.1,shots_attempted.1,time_on_ice_avg,hits,blocks,takeaways,giveaways,name,age_y,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,uniqueseason
1,2007-08,STL,23.0,72.0,99.0,-11.0,10.0,3.0,0.0,2.0,14.0,4.0,0.0,10.1,205.0,10.1,205.0,14.41,240.0,13.0,20.0,14.0,backeda01,23.0,713.0,696.0,50.6,2.4,574.0,530.0,52.0,2.5,8.6,88.6,97.1,47.0,53.0,1
2,2008-09,STL,24.0,82.0,165.0,-3.0,23.0,6.0,2.0,1.0,17.0,5.0,1.0,14.9,325.0,14.9,325.0,17.41,204.0,52.0,45.0,20.0,backeda01,24.0,934.0,920.0,50.4,1.6,739.0,668.0,52.5,2.7,9.6,88.3,97.9,45.0,55.0,1
3,2009-10,STL,25.0,79.0,106.0,-4.0,12.0,5.0,0.0,3.0,27.0,3.0,1.0,10.4,288.0,10.4,288.0,18.18,266.0,60.0,40.0,21.0,backeda01,25.0,1035.0,915.0,53.1,1.5,785.0,671.0,53.9,2.8,8.8,90.0,98.8,46.7,53.3,1
4,2010-11,STL,26.0,82.0,93.0,32.0,26.0,5.0,0.0,2.0,20.0,10.0,1.0,14.7,361.0,14.7,361.0,19.42,213.0,40.0,47.0,23.0,backeda01,26.0,1270.0,1073.0,54.2,3.3,969.0,805.0,54.6,3.6,11.1,91.8,103.0,50.8,49.2,1
5,2011-12,STL,27.0,82.0,101.0,15.0,14.0,8.0,2.0,4.0,20.0,9.0,1.0,10.3,397.0,10.3,397.0,19.00,226.0,72.0,50.0,22.0,backeda01,27.0,1301.0,1075.0,54.8,-0.7,985.0,775.0,56.0,-0.8,7.3,93.6,100.0,45.7,54.3,1
6,2012-13,STL,28.0,48.0,62.0,5.0,5.0,1.0,0.0,1.0,17.0,4.0,1.0,6.0,167.0,6.0,167.0,19.37,158.0,41.0,30.0,10.0,backeda01,28.0,675.0,618.0,52.2,2.1,496.0,430.0,53.6,2.8,8.7,91.8,100.0,43.0,57.0,1
7,2013-14,STL,29.0,74.0,119.0,14.0,17.0,10.0,0.0,5.0,24.0,6.0,0.0,16.4,275.0,16.4,275.0,19.33,273.0,56.0,32.0,22.0,backeda01,29.0,1100.0,893.0,55.2,0.7,817.0,641.0,56.0,1.6,9.7,91.5,101.0,46.9,53.1,1
8,2014-15,STL,30.0,80.0,104.0,7.0,16.0,10.0,0.0,3.0,26.0,6.0,0.0,14.2,302.0,14.2,302.0,18.38,227.0,87.0,38.0,29.0,backeda01,30.0,1085.0,1078.0,50.2,-2.7,836.0,747.0,52.8,-0.6,10.3,90.4,100.0,42.3,57.7,1
9,2015-16,STL,31.0,79.0,83.0,4.0,13.0,8.0,0.0,3.0,19.0,5.0,0.0,12.5,270.0,12.5,270.0,19.14,239.0,63.0,39.0,24.0,backeda01,31.0,1088.0,1043.0,51.1,-0.9,846.0,752.0,52.9,1.2,7.1,93.1,100.0,38.6,61.4,1
10,2016-17,BOS,32.0,18.0,23.0,5.0,3.0,2.0,0.0,1.0,3.0,1.0,0.0,10.9,70.0,10.9,70.0,18.02,52.0,13.0,5.0,9.0,backeda01,32.0,277.0,227.0,55.0,0.2,212.0,156.0,57.6,3.4,9.9,91.2,101.0,51.2,48.8,1
