,name,url,height,weight,shot,pos,draft
0,Alex Ovechkin,/players/o/ovechal01.html,190,239,R,L,1st
1,Evgeni Malkin,/players/m/malkiev01.html,190,195,L,C,2nd
2,Cam Barker,/players/b/barkeca01.html,190,223,L,D,3rd
3,Andrew Ladd,/players/l/laddan01.html,190,200,L,L,4th
4,Blake Wheeler,/players/w/wheelbl01.html,196,225,R,R,5th
5,Al Montoya,/players/m/montoal01.html,188,203,a,G,6th
6,Rostislav Olesz,/players/o/oleszro01.html,188,215,L,L,7th
7,Alexandre Picard,/players/p/picaral02.html,188,206,L,L,8th
8,Ladislav Smid,/players/s/smidla01.html,193,210,L,D,9th
9,Boris Valabik,/players/v/valabbo01.html,201,245,L,D,10t
10,Lauri Tukonen,/players/t/tukonla01.html,188,200,R,R,11t
11,A.J. Thelen,/players/t/thelea.01.html,ml>,ml>,a,D,12t
12,Drew Stafford,/players/s/staffdr01.html,188,214,R,R,13t
13,Devan Dubnyk,/players/d/dubnyde01.html,198,212,a,G,14t
14,Alexander Radulov,/players/r/radulal01.html,185,188,L,R,15t
15,Petteri Nokelainen,/players/n/nokelpe01.html,185,202,R,C,16t
16,Marek Schwarz,/players/s/schwama01.html,183,180,a,G,17t
17,Kyle Chipchura,/players/c/chipcky01.html,188,203,L,C,18t
18,Lauri Korpikoski,/players/k/korpila01.html,185,193,L,L,19t
19,Travis Zajac,/players/z/zajactr01.html,188,185,R,C,20t
20,Wojtek Wolski,/players/w/wolskwo01.html,190,215,L,L,21s
21,Lukas Kaspar,/players/k/kaspalu01.html,188,220,L,R,22n
22,Andrej Meszaros,/players/m/meszaan01.html,188,223,L,D,23r
23,Kris Chucko,/players/c/chuckkr01.html,188,190,R,L,24t
24,Rob Schremp,/players/s/schrero01.html,178,184,L,C,25t
25,Cory Schneider,/players/s/schneco01.html,190,205,a,G,26t
26,Jeff Schultz,/players/s/schulje02.html,198,230,L,D,27t
27,Mark Fistric,/players/f/fistrma01.html,188,225,L,D,28t
28,Mike Green,/players/g/greenmi03.html,185,207,R,D,29t
29,Andy Rogers,/players/r/rogeran01.html,ml>,ml>,a,D,30t
30,Johannes Salmonsson,/players/s/salmojo01.html,ml>,ml>,a,L,31s
31,Dave Bolland,/players/b/bollada01.html,183,184,R,C,32n
32,Chris Bourque,/players/b/bourqch01.html,173,174,a,L,33r
33,Johan Fransson,/players/f/fransjo01.html,ml>,ml>,a,D,34t
34,Logan Stephenson,/players/s/stephlo01.html,ml>,ml>,a,D,35t
35,Darin Olver,/players/o/olverda01.html,ml>,ml>,a,C,36t
